"Año","Periodo","No","Sí","Total"
"2021","1","3052","11","3063"
"2020","2","2719","11","2730"
"2020","1","3260","13","3273"
"2019","2","2956","8","2964"
"2019","1","3332","5","3337"
"2018","2","3031","7","3038"
"2018","1","3661","3","3664"
"2017","2","2958","7","2965"
"2017","1","3266","3","3269"
"2016","2","2998","6","3004"
"2016","1","3141","1","3142"
"2015","2","2925","2","2927"
"2015","1","3161","1","3162"
"2014","2","2902","4","2906"
"2014","1","2808","1","2809"
"2013","2","2584","1","2585"
"2013","1","3371","1","3372"
"2012","2","2955","2","2957"
"2012","1","3335","2","3337"
"2011","2","3004","1","3005"
"2011","1","3331","0","3331"
"2010","2","3199","0","3199"
"2010","1","3253","3","3256"
"2009","2","2764","0","2764"
"2009","1","2968","1","2969"
"2008","2","2751","0","2751"
"2008","1","2937","0","2937"