"A̱o","Periodo","Hombres","Mujeres","Total"
"2021","1","1766","1297","3063"
"2020","2","1696","1034","2730"
"2020","1","2109","1164","3273"
"2019","2","1900","1064","2964"
"2019","1","2147","1190","3337"
"2018","2","2012","1026","3038"
"2018","1","2383","1281","3664"
"2017","2","2016","949","2965"
"2017","1","2137","1132","3269"
"2016","2","1913","1091","3004"
"2016","1","1997","1145","3142"
"2015","2","2002","925","2927"
"2015","1","2140","1022","3162"
"2014","2","2018","888","2906"
"2014","1","2001","808","2809"
"2013","2","1829","756","2585"
"2013","1","2334","1038","3372"
"2012","2","2084","873","2957"
"2012","1","1705","1632","3337"
"2011","2","1967","1038","3005"
"2011","1","2352","979","3331"
"2010","2","2147","1052","3199"
"2010","1","2279","977","3256"
"2009","2","1698","1066","2764"
"2009","1","1852","1117","2969"
"2008","2","1792","959","2751"
"2008","1","1874","1063","2937"