"Año","Periodo","No","Sí","Total"
"2021","1","42829","285","43114"
"2020","2","27359","210","27569"
"2020","1","42694","203","42897"
"2019","2","28677","143","28820"
"2019","1","51246","87","51333"
"2018","2","30830","81","30911"
"2018","1","47340","63","47403"
"2017","2","31852","71","31923"
"2017","1","50247","66","50313"
"2016","2","28883","97","28980"
"2016","1","48329","70","48399"
"2015","2","31016","48","31064"
"2015","1","46440","65","46505"
"2014","2","29070","41","29111"