"A̱o","Periodo","Hombres","Mujeres","Total"
"2020","2","908","473","1381"
"2020","1","1156","645","1801"
"2019","2","1825","1060","2885"
"2019","1","344","231","575"
"2018","2","1037","685","1722"
"2018","1","1097","699","1796"
"2017","2","1087","662","1749"
"2017","1","1167","713","1880"
"2016","2","1042","682","1724"
"2016","1","1023","650","1673"
"2015","2","1039","721","1760"
"2015","1","857","576","1433"
"2014","2","930","628","1558"
"2014","1","839","510","1349"
"2013","2","1023","661","1684"
"2013","1","705","512","1217"
"2012","2","984","719","1703"
"2012","1","671","511","1182"
"2011","2","898","570","1468"
"2011","1","942","860","1802"
"2010","2","680","590","1270"
"2010","1","1328","1059","2387"
"2009","2","682","648","1330"
"2009","1","1205","934","2139"