"Año","Periodo","No","Sí","Total"
"2020","2","24039","2493","26532"
"2020","1","23841","2610","26451"
"2019","2","23565","2619","26184"
"2019","1","23082","2671","25753"
"2018","2","23023","2590","25613"
"2018","1","22717","2852","25569"
"2017","2","22725","2531","25256"
"2017","1","22605","2493","25098"
"2016","2","22526","2571","25097"
"2016","1","22524","2412","24936"
"2015","2","22459","2532","24991"
"2015","1","22442","2479","24921"
"2014","2","22423","2508","24931"
"2014","1","22292","2383","24675"
"2013","2","22220","2308","24528"
"2013","1","21896","2771","24667"
"2012","2","21263","2620","23883"
"2012","1","21137","2544","23681"
"2011","2","21062","2090","23152"
"2011","1","20416","2731","23147"
"2010","2","20044","2627","22671"
"2010","1","20071","2582","22653"
"2009","2","20254","2218","22472"
"2009","1","20106","2419","22525"