"Año","Periodo","No","Sí","Total"
"2021","1","6611","27","6638"
"2020","2","5813","26","5839"
"2020","1","6979","24","7003"
"2019","2","6141","22","6163"
"2019","1","6943","8","6951"
"2018","2","6275","8","6283"
"2018","1","7191","5","7196"
"2017","2","5915","8","5923"
"2017","1","6708","5","6713"
"2016","2","5871","11","5882"
"2016","1","6441","1","6442"
"2015","2","5617","5","5622"
"2015","1","6364","1","6365"
"2014","2","5723","4","5727"
"2014","1","5586","2","5588"
"2013","2","5033","1","5034"
"2013","1","6319","3","6322"
"2012","2","5584","2","5586"
"2012","1","6590","2","6592"
"2011","2","5706","3","5709"
"2011","1","6703","0","6703"
"2010","2","5823","0","5823"
"2010","1","6464","3","6467"
"2009","2","5485","0","5485"
"2009","1","5514","1","5515"
"2008","2","5481","0","5481"
"2008","1","5695","0","5695"