"Año","Periodo","Agronomía, veterinaria y afines","Bellas artes","Ciencias de la educación","Ciencias de la salud","Ciencias sociales y humanas","Economía, administración, contaduría y afines","Ingeniería, arquitectura, urbanismo y afines","Matemáticas y ciencias naturales","Total"
"2020","2","44","119","0","76","377","280","882","228","2006"
"2020","1","84","178","0","301","489","267","1388","256","2963"
"2019","2","102","270","0","303","831","469","2118","508","4601"
"2019","1","90","33","0","123","180","73","467","46","1012"
"2018","2","102","143","0","253","494","296","1396","253","2937"
"2018","1","76","178","0","248","519","323","1424","250","3018"
"2017","2","97","136","0","257","452","283","1475","260","2960"
"2017","1","87","156","0","296","554","314","1405","250","3062"
"2016","2","68","155","0","263","481","282","1416","203","2868"
"2016","1","71","172","0","133","517","288","1419","239","2839"
"2015","2","102","166","0","398","446","225","1381","192","2910"
"2015","1","107","161","0","163","443","236","1249","196","2555"
"2014","2","106","131","0","326","423","208","1192","197","2583"
"2014","1","95","146","0","103","424","221","1158","194","2341"
"2013","2","88","141","0","320","444","247","1318","183","2741"
"2013","1","87","113","0","132","328","207","1195","212","2274"
"2012","2","111","147","0","314","505","238","1286","236","2837"
"2012","1","87","125","0","130","323","209","1001","207","2082"
"2011","2","82","118","0","238","309","274","837","200","2058"
"2011","1","123","135","0","339","535","365","1164","257","2918"
"2010","2","72","130","0","194","456","389","991","163","2395"
"2010","1","100","193","0","394","709","417","1751","231","3795"
"2009","2","103","136","0","320","310","351","821","159","2200"
"2009","1","133","155","0","293","492","354","1761","270","3458"