"Año","Periodo","Colombiana","Extranjero","Sin información","Total"
"2020","2","2000","6","0","2006"
"2020","1","2950","13","0","2963"
"2019","2","4585","16","0","4601"
"2019","1","1009","1","2","1012"
"2018","2","2928","4","5","2937"
"2018","1","3012","4","2","3018"
"2017","2","2950","10","0","2960"
"2017","1","3054","6","2","3062"
"2016","2","2859","9","0","2868"
"2016","1","2829","10","0","2839"
"2015","2","2904","6","0","2910"
"2015","1","2551","4","0","2555"
"2014","2","2579","4","0","2583"
"2014","1","2335","5","1","2341"
"2013","2","2731","10","0","2741"
"2013","1","2270","4","0","2274"
"2012","2","2834","2","1","2837"
"2012","1","2073","3","6","2082"
"2011","2","2043","6","9","2058"
"2011","1","2911","6","1","2918"
"2010","2","2382","8","5","2395"
"2010","1","3792","2","1","3795"