"Año","Periodo","PEAMA - Amazonía","PEAMA - Caribe","PEAMA - Medellín - Sinifaná","PEAMA - Orinoquía","PEAMA - Sede Bogotá - Sumapaz","PEAMA - Sede Manizales - Caldas","PEAMA - Tumaco","Total"
"2020","2","94","32","0","203","0","0","162","491"
"2020","1","100","35","0","186","24","0","155","500"
"2019","2","84","7","0","203","0","0","64","358"
"2019","1","105","69","63","195","19","0","211","662"
"2018","2","108","13","0","200","12","0","127","460"
"2018","1","104","52","0","187","0","0","143","486"
"2017","2","65","19","0","131","0","0","62","277"
"2017","1","89","34","0","137","12","34","118","424"
"2016","2","52","18","0","85","0","0","73","228"
"2016","1","70","26","0","63","0","0","46","205"
"2015","2","45","5","0","50","0","0","50","150"
"2015","1","68","9","0","67","0","0","49","193"
"2014","2","54","8","0","72","0","0","0","134"
"2014","1","133","27","0","178","0","0","0","338"
"2013","2","69","19","0","66","0","0","0","154"
"2013","1","76","32","0","74","0","0","0","182"
"2012","2","70","10","0","65","0","0","0","145"
"2012","1","67","33","0","72","0","0","0","172"
"2011","2","1","0","0","0","0","0","0","1"
"2011","1","60","33","0","74","0","0","0","167"
"2010","2","57","11","0","31","0","0","0","99"
"2010","1","42","24","0","45","0","0","0","111"
"2009","2","35","6","0","46","0","0","0","87"
"2009","1","0","29","0","44","0","0","0","73"