"Año","Periodo","Amazonía","Bogotá","Caribe","La Paz","Manizales","Medellín","Orinoquía","Palmira","Tumaco","Total"
"2020","2","158","26532","47","560","4924","11709","265","2752","332","47279"
"2020","1","175","26451","43","386","4889","1246","260","2634","274","36358"
"2019","2","197","26184","29","201","4778","11103","270","2589","229","45580"
"2019","1","180","25753","75","","4757","10742","263","2545","306","44621"
"2018","2","205","25613","46","","4771","10637","302","2583","256","44413"
"2018","1","144","25569","60","","4797","10586","253","2632","234","44275"
"2017","2","130","25256","41","","4851","10511","190","2727","184","43890"
"2017","1","126","25098","43","","4908","10554","167","2814","187","43897"
"2016","2","100","25097","30","","4877","10594","112","2826","162","43798"
"2016","1","90","24936","28","","4930","10498","88","2869","116","43555"
"2015","2","99","24991","9","","4762","10594","83","2798","73","43409"
"2015","1","108","24921","16","","4825","10388","97","2780","49","43184"
"2014","2","103","24931","16","","4686","10235","120","2746","","42837"
"2014","1","120","24675","21","","4561","10159","140","2617","","42293"
"2013","2","166","24528","43","","4603","10088","160","2696","","42284"
"2013","1","124","24667","38","","4646","10125","119","2709","","42428"
"2012","2","155","23883","35","","4472","10150","168","2642","","41505"
"2012","1","128","23681","62","","4379","10403","181","2506","","41340"
"2011","2","156","23152","46","","4131","10236","170","2350","","40241"
"2011","1","176","23147","59","","4162","10213","158","2310","","40225"
"2010","2","132","22671","47","","4009","9906","114","2205","","39084"
"2010","1","99","22653","58","","4159","10004","132","2209","","39314"
"2009","2","66","22472","40","","4015","9686","131","2270","","38680"
"2009","1","43","22525","40","","4090","10018","97","2252","","39065"