"A̱o","Periodo","Hombres","Mujeres","Total"
"2021","1","967","723","1690"
"2020","2","930","642","1572"
"2020","1","1153","843","1996"
"2019","2","909","581","1490"
"2019","1","1523","1009","2532"
"2018","2","1052","642","1694"
"2018","1","1360","933","2293"
"2017","2","1161","711","1872"
"2017","1","1563","1087","2650"
"2016","2","1076","720","1796"
"2016","1","1461","1054","2515"
"2015","2","985","724","1709"
"2015","1","1263","942","2205"
"2014","2","980","679","1659"