"A̱o","Periodo","Hombres","Mujeres","Total"
"2020","2","284","170","454"
"2020","1","384","183","567"
"2019","2","296","158","454"
"2019","1","364","172","536"
"2018","2","316","143","459"
"2018","1","353","183","536"
"2017","2","346","153","499"
"2017","1","413","202","615"
"2016","2","330","174","504"
"2016","1","411","215","626"
"2015","2","316","165","481"
"2015","1","437","181","618"
"2014","2","355","175","530"
"2014","1","333","106","439"
"2013","2","318","133","451"
"2013","1","442","191","633"
"2012","2","361","168","529"
"2012","1","411","214","625"
"2011","2","266","156","422"
"2011","1","411","215","626"
"2010","2","318","139","457"
"2010","1","452","211","663"
"2009","2","224","141","365"
"2009","1","316","158","474"