"Año","Periodo","17 años o menos","18 a 20 años","21 a 25 años","26 o más años","Sin información","Total"
"2020","2","149","1974","2283","518","0","4924"
"2020","1","195","1797","2347","550","0","4889"
"2019","2","52","1772","2427","527","0","4778"
"2019","1","146","1752","2320","538","1","4757"
"2018","2","46","1790","2374","561","0","4771"
"2018","1","183","1847","2217","550","0","4797"
"2017","2","223","1927","2170","531","0","4851"
"2017","1","151","1732","2425","600","0","4908"
"2016","2","232","1904","2218","523","0","4877"
"2016","1","124","1733","2478","595","0","4930"
"2015","2","252","1861","2176","473","0","4762"
"2015","1","292","1867","2176","490","0","4825"
"2014","2","43","1667","2412","564","0","4686"
"2014","1","193","1809","2060","499","0","4561"
"2013","2","168","1931","1992","512","0","4603"
"2013","1","98","1780","2178","590","0","4646"
"2012","2","198","1927","1847","500","0","4472"
"2012","1","330","1839","1734","476","0","4379"
"2011","2","","","","","","0"
"2011","1","130","1606","1871","555","0","4162"
"2010","2","209","1617","1658","524","1","4009"
"2010","1","127","1484","1909","639","0","4159"
"2009","2","199","1513","1749","549","5","4015"
"2009","1","102","1386","1939","663","0","4090"