"A̱o","Periodo","Especial","Regular","Total"
"2020","2","692","4232","4924"
"2020","1","639","4250","4889"
"2019","2","575","4203","4778"
"2019","1","557","4200","4757"
"2018","2","502","4269","4771"
"2018","1","465","4332","4797"
"2017","2","432","4419","4851"
"2017","1","420","4488","4908"
"2016","2","380","4497","4877"
"2016","1","381","4549","4930"
"2015","2","357","4405","4762"
"2015","1","369","4456","4825"
"2014","2","338","4348","4686"
"2014","1","355","4206","4561"
"2013","2","294","4309","4603"
"2013","1","303","4343","4646"
"2012","2","249","4223","4472"
"2012","1","250","4129","4379"
"2011","2","189","3942","4131"
"2011","1","187","3975","4162"
"2010","2","151","3858","4009"
"2010","1","163","3996","4159"
"2009","2","139","3876","4015"
"2009","1","136","3954","4090"