"Año","Periodo","No","Sí","Total"
"2021","1","1662","5","1667"
"2020","2","1438","4","1442"
"2020","1","1793","8","1801"
"2019","2","1647","5","1652"
"2019","1","1816","1","1817"
"2018","2","1834","1","1835"
"2018","1","1816","0","1816"
"2017","2","1675","1","1676"
"2017","1","1813","2","1815"
"2016","2","1698","4","1702"
"2016","1","1777","0","1777"
"2015","2","1618","1","1619"
"2015","1","1799","0","1799"
"2014","2","1648","0","1648"
"2014","1","1537","0","1537"
"2013","2","1455","0","1455"
"2013","1","1539","1","1540"
"2012","2","1427","0","1427"
"2012","1","1755","0","1755"
"2011","2","1613","2","1615"
"2011","1","1957","0","1957"
"2010","2","1658","0","1658"
"2010","1","1888","0","1888"
"2009","2","1710","0","1710"
"2009","1","1732","0","1732"
"2008","2","1669","0","1669"
"2008","1","1726","0","1726"