"A̱o","Periodo","Especial","Regular","Total"
"2021","1","210","1457","1667"
"2020","2","316","1126","1442"
"2020","1","239","1562","1801"
"2019","2","193","1459","1652"
"2019","1","233","1584","1817"
"2018","2","275","1560","1835"
"2018","1","226","1590","1816"
"2017","2","108","1568","1676"
"2017","1","155","1660","1815"
"2016","2","83","1619","1702"
"2016","1","148","1629","1777"
"2015","2","45","1574","1619"
"2015","1","144","1655","1799"
"2014","2","52","1596","1648"
"2014","1","129","1408","1537"
"2013","2","35","1420","1455"
"2013","1","137","1403","1540"
"2012","2","39","1388","1427"
"2012","1","194","1561","1755"
"2011","2","34","1581","1615"
"2011","1","173","1784","1957"
"2010","2","28","1630","1658"
"2010","1","129","1759","1888"
"2009","2","27","1683","1710"
"2009","1","93","1639","1732"
"2008","2","39","1630","1669"
"2008","1","104","1622","1726"