"A̱o","Periodo","Hombres","Mujeres","Total"
"2021","1","3888","2897","6785"
"2020","2","2583","1922","4505"
"2020","1","4477","3273","7750"
"2019","2","2255","1483","3738"
"2019","1","5731","4301","10032"
"2018","2","3425","2283","5708"
"2018","1","5283","3974","9257"
"2017","2","2847","1903","4750"
"2017","1","5082","3787","8869"
"2016","2","2845","1821","4666"
"2016","1","5452","3984","9436"
"2015","2","2983","2114","5097"
"2015","1","4768","3597","8365"
"2014","2","3121","2025","5146"