"Año","Periodo","Ciencias agropecuarias","Ingeniería y administración","Total"
"2021","1","119","233","352"
"2020","2","116","217","333"
"2020","1","133","210","343"
"2019","2","130","188","318"
"2019","1","134","188","322"
"2018","2","142","174","316"
"2018","1","148","183","331"
"2017","2","137","189","326"
"2017","1","111","200","311"
"2016","2","112","214","326"
"2016","1","171","253","424"
"2015","2","106","219","325"
"2015","1","148","245","393"
"2014","2","134","264","398"
"2014","1","141","224","365"
"2013","2","67","207","274"
"2013","1","123","283","406"
"2012","2","126","267","393"
"2012","1","198","328","526"
"2011","2","109","246","355"
"2011","1","150","275","425"
"2010","2","71","241","312"
"2010","1","116","238","354"
"2009","2","132","244","376"
"2009","1","0","0","0"
"2008","2","155","222","377"
"2008","1","151","219","370"