"Año","Periodo","No","Sí","Total"
"2021","1","261","352","613"
"2020","2","516","333","849"
"2020","1","425","343","768"
"2019","2","461","278","739"
"2019","1","896","322","1218"
"2018","2","518","316","834"
"2018","1","673","331","1004"
"2017","2","574","326","900"
"2017","1","668","311","979"
"2016","2","503","326","829"
"2016","1","562","424","986"
"2015","2","688","325","1013"
"2015","1","529","393","922"
"2014","2","542","398","940"