"A̱o","Periodo","Especial","Regular","Total"
"2020","2","23","134","157"
"2020","1","12","131","143"
"2019","2","22","195","217"
"2019","1","7","107","114"
"2018","2","36","199","235"
"2018","1","50","218","268"
"2017","2","25","192","217"
"2017","1","17","169","186"
"2016","2","15","177","192"
"2016","1","15","159","174"
"2015","2","14","139","153"
"2015","1","14","159","173"
"2014","2","7","137","144"
"2014","1","8","111","119"
"2013","2","9","142","151"
"2013","1","7","131","138"
"2012","2","14","126","140"
"2012","1","8","79","87"
"2011","2","7","68","75"
"2011","1","6","156","162"
"2010","2","5","147","152"
"2010","1","6","146","152"
"2009","2","1","187","188"
"2009","1","4","168","172"