"A̱o","Periodo","Hombres","Mujeres","Total"
"2020","2","84","73","157"
"2020","1","73","70","143"
"2019","2","105","112","217"
"2019","1","65","49","114"
"2018","2","119","116","235"
"2018","1","139","129","268"
"2017","2","125","92","217"
"2017","1","93","93","186"
"2016","2","98","94","192"
"2016","1","84","90","174"
"2015","2","72","81","153"
"2015","1","88","85","173"
"2014","2","71","73","144"
"2014","1","65","54","119"
"2013","2","79","72","151"
"2013","1","78","60","138"
"2012","2","75","65","140"
"2012","1","44","43","87"
"2011","2","34","41","75"
"2011","1","80","82","162"
"2010","2","81","71","152"
"2010","1","74","78","152"
"2009","2","102","86","188"
"2009","1","78","94","172"