"Año","Periodo","No","Sí","Total"
"2021","1","40051","3063","43114"
"2020","2","24839","2730","27569"
"2020","1","39624","3273","42897"
"2019","2","25952","2868","28820"
"2019","1","47996","3337","51333"
"2018","2","27873","3038","30911"
"2018","1","43739","3664","47403"
"2017","2","28958","2965","31923"
"2017","1","47044","3269","50313"
"2016","2","25976","3004","28980"
"2016","1","45257","3142","48399"
"2015","2","28137","2927","31064"
"2015","1","43343","3162","46505"
"2014","2","26205","2906","29111"