"Año","Periodo","Artes","Ciencias","Ciencias agrarias","Ciencias económicas","Ciencias humanas","Derecho, ciencias políticas y sociales","Enfermería","Ingeniería","Medicina","Medicina veterinaria y de zootecnia","Odontología","Total"
"2020","2","144","221","26","150","252","115","2","364","70","33","4","1381"
"2020","1","180","229","42","154","321","108","38","409","232","57","31","1801"
"2019","2","315","460","33","279","547","203","50","684","186","61","67","2885"
"2019","1","16","38","44","42","113","49","13","75","109","75","1","575"
"2018","2","153","228","47","175","316","134","41","366","161","50","51","1722"
"2018","1","171","225","35","183","331","145","51","418","157","40","40","1796"
"2017","2","158","246","52","149","320","98","64","425","149","44","44","1749"
"2017","1","171","226","26","189","362","113","73","448","182","49","41","1880"
"2016","2","184","188","28","171","309","113","50","426","185","42","28","1724"
"2016","1","189","209","47","172","338","89","48","446","46","50","39","1673"
"2015","2","170","171","52","144","258","124","65","380","287","63","46","1760"
"2015","1","172","179","26","131","270","109","68","327","62","56","33","1433"
"2014","2","140","177","27","120","281","84","23","335","267","68","36","1558"
"2014","1","167","179","41","115","260","91","10","333","46","60","47","1349"
"2013","2","190","169","46","131","281","105","19","399","265","43","36","1684"
"2013","1","129","194","21","103","214","74","50","296","48","54","34","1217"
"2012","2","166","224","41","130","314","115","69","339","214","60","31","1703"
"2012","1","140","193","28","112","189","81","50","261","50","48","30","1182"
"2011","2","155","191","39","168","176","107","79","340","159","54","","1468"
"2011","1","158","236","37","215","337","103","66","294","222","83","51","1802"
"2010","2","124","153","31","244","237","141","92","106","102","40","","1270"
"2010","1","221","204","49","272","472","121","75","598","240","56","79","2387"
"2009","2","134","143","41","200","196","64","81","172","192","60","47","1330"
"2009","1","197","252","55","205","330","79","95","649","160","79","38","2139"