"A̱o","Periodo","Especial","Regular","Total"
"2020","2","76","1305","1381"
"2020","1","106","1695","1801"
"2019","2","203","2682","2885"
"2019","1","41","534","575"
"2018","2","117","1605","1722"
"2018","1","111","1685","1796"
"2017","2","103","1646","1749"
"2017","1","95","1785","1880"
"2016","2","101","1623","1724"
"2016","1","72","1601","1673"
"2015","2","97","1663","1760"
"2015","1","79","1354","1433"
"2014","2","67","1491","1558"
"2014","1","68","1281","1349"
"2013","2","93","1591","1684"
"2013","1","61","1156","1217"
"2012","2","78","1625","1703"
"2012","1","56","1126","1182"
"2011","2","65","1403","1468"
"2011","1","73","1729","1802"
"2010","2","56","1214","1270"
"2010","1","103","2284","2387"
"2009","2","56","1274","1330"
"2009","1","71","2068","2139"