"A̱o","Periodo","Especial","Regular","Total"
"2020","2","2871","23661","26532"
"2020","1","2710","23741","26451"
"2019","2","2489","23695","26184"
"2019","1","2428","23325","25753"
"2018","2","2218","23395","25613"
"2018","1","2186","23383","25569"
"2017","2","1980","23276","25256"
"2017","1","1948","23150","25098"
"2016","2","1770","23327","25097"
"2016","1","1798","23138","24936"
"2015","2","1695","23296","24991"
"2015","1","1756","23165","24921"
"2014","2","1654","23277","24931"
"2014","1","1805","22870","24675"
"2013","2","1504","23024","24528"
"2013","1","1637","23030","24667"
"2012","2","1467","22416","23883"
"2012","1","1451","22230","23681"
"2011","2","1324","21828","23152"
"2011","1","1372","21775","23147"
"2010","2","1232","21439","22671"
"2010","1","1251","21402","22653"
"2009","2","1175","21297","22472"
"2009","1","1168","21357","22525"