"Año","Periodo","Estrato 2 o menos","Estrato 3","Estrato 4 o más","ND/NE","Total"
"2021","1","3959","1919","707","53","6638"
"2020","2","3539","1790","450","60","5839"
"2020","1","3705","2301","910","87","7003"
"2019","2","3385","2009","704","65","6163"
"2019","1","3670","2225","988","68","6951"
"2018","2","3281","2157","776","69","6283"
"2018","1","3718","2386","1015","77","7196"
"2017","2","2982","2060","826","55","5923"
"2017","1","3402","2294","932","85","6713"
"2016","2","2971","2136","713","62","5882"
"2016","1","3148","2320","921","53","6442"
"2015","2","2803","2010","760","49","5622"
"2015","1","2978","2397","933","57","6365"
"2014","2","2800","2123","716","88","5727"
"2014","1","2530","2193","808","57","5588"
"2013","2","2453","1939","599","43","5034"
"2013","1","2858","2390","1016","58","6322"
"2012","2","2628","2187","721","50","5586"
"2012","1","3015","2517","997","63","6592"
"2011","2","2632","2271","764","42","5709"
"2011","1","3128","2512","1012","51","6703"
"2010","2","2733","2359","685","46","5823"
"2010","1","2807","2581","1021","58","6467"
"2009","2","2624","2126","694","41","5485"
"2009","1","2217","2342","910","46","5515"
"2008","2","2475","2270","687","49","5481"
"2008","1","2174","2397","972","152","5695"