"A̱o","Periodo","Especial","Regular","Total"
"2021","1","1567","5071","6638"
"2020","2","1485","4354","5839"
"2020","1","1654","5349","7003"
"2019","2","1162","5001","6163"
"2019","1","1475","5476","6951"
"2018","2","1116","5167","6283"
"2018","1","1409","5787","7196"
"2017","2","692","5231","5923"
"2017","1","1148","5565","6713"
"2016","2","583","5299","5882"
"2016","1","827","5615","6442"
"2015","2","358","5264","5622"
"2015","1","771","5594","6365"
"2014","2","393","5334","5727"
"2014","1","618","4970","5588"
"2013","2","317","4717","5034"
"2013","1","729","5593","6322"
"2012","2","387","5199","5586"
"2012","1","923","5669","6592"
"2011","2","378","5331","5709"
"2011","1","831","5872","6703"
"2010","2","351","5472","5823"
"2010","1","631","5836","6467"
"2009","2","290","5195","5485"
"2009","1","446","5069","5515"
"2008","2","393","5088","5481"
"2008","1","459","5236","5695"