"Año","Periodo","Amazonía","Bogotá","Caribe","De La Paz","Manizales","Medellín","Orinoquía","Palmira","Tumaco","Total"
"2021","1","115","3063","74","240","665","1667","252","352","210","6638"
"2020","2","121","2730","39","230","521","1442","226","333","197","5839"
"2020","1","132","3273","43","240","707","1801","264","343","200","7003"
"2019","2","95","2964","9","240","550","1652","256","318","79","6163"
"2019","1","132","3337","84","","734","1817","264","322","261","6951"
"2018","2","124","3038","17","","544","1835","237","316","172","6283"
"2018","1","132","3664","64","","705","1816","264","331","220","7196"
"2017","2","83","2965","24","","605","1676","171","326","73","5923"
"2017","1","109","3269","45","","785","1815","221","311","158","6713"
"2016","2","59","3004","","","587","1702","114","326","90","5882"
"2016","1","90","3142","39","","825","1777","89","424","56","6442"
"2015","2","53","2927","5","","585","1619","54","325","54","5622"
"2015","1","89","3162","34","","756","1799","81","393","51","6365"
"2014","2","68","2906","8","","610","1648","89","398","","5727"
"2014","1","77","2809","18","","672","1537","110","365","","5588"
"2013","2","76","2585","19","","550","1455","75","274","","5034"
"2013","1","90","3372","36","","788","1540","90","406","","6322"
"2012","2","78","2957","12","","642","1427","77","393","","5586"
"2012","1","83","3337","40","","752","1755","99","526","","6592"
"2011","2","80","3005","15","","571","1615","68","355","","5709"
"2011","1","83","3331","40","","765","1957","102","425","","6703"
"2010","2","71","3199","15","","524","1658","44","312","","5823"
"2010","1","51","3256","50","","789","1888","79","354","","6467"
"2009","2","39","2764","7","","534","1710","55","376","","5485"
"2009","1","0","2969","40","","709","1732","65","0","","5515"
"2008","2","51","2751","19","","572","1669","42","377","","5481"
"2008","1","0","2937","0","","595","1726","67","370","","5695"