"A̱o","Periodo","Hombres","Mujeres","Total"
"2021","1","3838","2800","6638"
"2020","2","3457","2382","5839"
"2020","1","4467","2536","7003"
"2019","2","3872","2291","6163"
"2019","1","4361","2590","6951"
"2018","2","4077","2206","6283"
"2018","1","4582","2614","7196"
"2017","2","3920","2003","5923"
"2017","1","4348","2365","6713"
"2016","2","3708","2174","5882"
"2016","1","4021","2421","6442"
"2015","2","3706","1916","5622"
"2015","1","4225","2140","6365"
"2014","2","3880","1847","5727"
"2014","1","3941","1647","5588"
"2013","2","3491","1543","5034"
"2013","1","4364","1958","6322"
"2012","2","3876","1710","5586"
"2012","1","3456","3136","6592"
"2011","2","3771","1938","5709"
"2011","1","4603","2100","6703"
"2010","2","3897","1926","5823"
"2010","1","4396","2071","6467"
"2009","2","3357","2128","5485"
"2009","1","3476","2039","5515"
"2008","2","3499","1982","5481"
"2008","1","3672","2023","5695"