"A̱o","Periodo","Especial","Regular","Total"
"2020","2","131","1875","2006"
"2020","1","202","2761","2963"
"2019","2","342","4259","4601"
"2019","1","65","947","1012"
"2018","2","234","2703","2937"
"2018","1","231","2787","3018"
"2017","2","209","2751","2960"
"2017","1","180","2882","3062"
"2016","2","182","2686","2868"
"2016","1","138","2701","2839"
"2015","2","162","2748","2910"
"2015","1","143","2412","2555"
"2014","2","118","2465","2583"
"2014","1","119","2222","2341"
"2013","2","142","2599","2741"
"2013","1","92","2182","2274"
"2012","2","124","2713","2837"
"2012","1","89","1993","2082"
"2011","2","87","1971","2058"
"2011","1","109","2809","2918"
"2010","2","99","2296","2395"
"2010","1","142","3653","3795"
"2009","2","71","2129","2200"
"2009","1","115","3343","3458"