"A̱o","Periodo","Hombres","Mujeres","Total"
"2020","2","1280","726","2006"
"2020","1","1895","1068","2963"
"2019","2","2899","1702","4601"
"2019","1","604","408","1012"
"2018","2","1794","1143","2937"
"2018","1","1825","1193","3018"
"2017","2","1835","1125","2960"
"2017","1","1902","1160","3062"
"2016","2","1733","1135","2868"
"2016","1","1746","1093","2839"
"2015","2","1719","1191","2910"
"2015","1","1541","1014","2555"
"2014","2","1550","1033","2583"
"2014","1","1418","923","2341"
"2013","2","1613","1128","2741"
"2013","1","1348","926","2274"
"2012","2","1695","1142","2837"
"2012","1","1217","865","2082"
"2011","2","1255","803","2058"
"2011","1","1588","1330","2918"
"2010","2","1348","1047","2395"
"2010","1","2136","1659","3795"
"2009","2","1179","1021","2200"
"2009","1","1955","1503","3458"