"Año","Periodo","11 o menos","12 a 17","18 a 50","51 a 100","Sin información","Total"
"2020","2","12911","7056","18083","9229","0","47279"
"2020","1","9465","5163","13867","7861","2","36358"
"2019","2","11936","6811","17504","9328","1","45580"
"2019","1","11581","6678","17107","9250","5","44621"
"2018","2","11666","6717","16920","9109","1","44413"
"2018","1","11850","6742","16664","9018","1","44275"
"2017","2","11881","6798","16651","8558","2","43890"
"2017","1","12047","6779","16668","8403","0","43897"
"2016","2","12197","6917","16645","8039","0","43798"
"2016","1","12108","6863","16588","7995","1","43555"
"2015","2","12163","6924","16531","7788","3","43409"
"2015","1","12082","6962","16489","7651","0","43184"
"2014","2","12267","7124","16153","7291","2","42837"
"2014","1","12091","7039","15978","7185","0","42293"
"2013","2","12029","7173","15995","7086","1","42284"
"2013","1","11772","7254","16244","7151","7","42428"
"2012","2","11507","7212","15901","6885","0","41505"
"2012","1","11215","7181","16028","6916","0","41340"
"2011","2","","","","","","0"
"2011","1","10414","7172","15921","6718","0","40225"
"2010","2","9919","7082","15570","6512","1","39084"
"2010","1","9678","7213","15770","6653","0","39314"