"A̱o","Periodo","Hombres","Mujeres","Total"
"2020","2","732","501","1233"
"2020","1","818","354","1172"
"2019","2","877","464","1341"
"2019","1","890","458","1348"
"2018","2","935","429","1364"
"2018","1","864","408","1272"
"2017","2","946","411","1357"
"2017","1","888","396","1284"
"2016","2","931","470","1401"
"2016","1","837","459","1296"
"2015","2","869","405","1274"
"2015","1","903","420","1323"
"2014","2","928","409","1337"
"2014","1","835","316","1151"
"2013","2","821","337","1158"
"2013","1","841","333","1174"
"2012","2","788","323","1111"
"2012","1","864","429","1293"
"2011","2","661","325","986"
"2011","1","1054","461","1515"
"2010","2","888","431","1319"
"2010","1","991","460","1451"
"2009","2","752","446","1198"
"2009","1","794","445","1239"