"Año","Periodo","Agronomía, veterinaria y afines","Bellas artes","Ciencias de la educación","Ciencias de la salud","Ciencias sociales y humanas","Economía, administración, contaduría y afines","Ingeniería, arquitectura, urbanismo y afines","Matemáticas y ciencias naturales","Sin información","Total"
"2021","1","59","47","0","0","0","47","199","0","0","352"
"2020","2","60","45","0","0","0","45","183","0","0","333"
"2020","1","69","42","0","0","0","43","189","0","0","343"
"2019","2","63","41","0","0","0","41","173","0","0","318"
"2019","1","70","38","0","0","0","38","176","0","0","322"
"2018","2","76","36","0","0","0","37","167","0","0","316"
"2018","1","77","38","0","0","0","38","178","0","0","331"
"2017","2","70","36","0","0","0","41","179","0","0","326"
"2017","1","58","38","0","0","0","43","172","0","0","311"
"2016","2","39","37","0","0","0","51","199","0","0","326"
"2016","1","96","44","0","0","0","53","231","0","0","424"
"2015","2","37","42","0","0","0","51","195","0","0","325"
"2015","1","72","49","0","0","0","53","219","0","0","393"
"2014","2","62","57","0","0","0","51","228","0","0","398"
"2014","1","69","40","0","0","0","47","209","0","0","365"
"2013","2","28","38","0","0","0","39","169","0","0","274"
"2013","1","59","51","0","0","0","68","228","0","0","406"
"2012","2","66","43","0","0","0","65","219","0","0","393"
"2012","1","95","44","0","0","0","75","312","0","0","526"
"2011","2","48","41","0","0","0","57","209","0","0","355"
"2011","1","66","36","0","0","0","60","263","0","0","425"
"2010","2","34","36","0","0","0","63","179","0","0","312"
"2010","1","56","42","0","0","0","49","207","0","0","354"
"2009","2","66","46","0","0","0","46","218","0","0","376"
"2009","1","0","0","0","0","0","0","0","0","0","0"
"2008","2","84","43","0","0","0","39","211","0","0","377"
"2008","1","79","44","0","0","0","46","201","0","0","370"