"A̱o","Periodo","Especial PAES","Regular","Total"
"2021","1","46","306","352"
"2020","2","113","220","333"
"2020","1","122","221","343"
"2019","2","67","251","318"
"2019","1","89","233","322"
"2018","2","55","261","316"
"2018","1","66","265","331"
"2017","2","40","286","326"
"2017","1","61","250","311"
"2016","2","59","267","326"
"2016","1","78","346","424"
"2015","2","29","296","325"
"2015","1","57","336","393"
"2014","2","38","360","398"
"2014","1","23","342","365"
"2013","2","6","268","274"
"2013","1","59","347","406"
"2012","2","29","364","393"
"2012","1","115","411","526"
"2011","2","25","330","355"
"2011","1","66","359","425"
"2010","2","23","289","312"
"2010","1","31","323","354"
"2009","2","15","361","376"
"2009","1","0","0","0"
"2008","2","33","344","377"
"2008","1","27","343","370"