"A̱o","Periodo","Hombres","Mujeres","Total"
"2021","1","272","341","613"
"2020","2","389","460","849"
"2020","1","322","446","768"
"2019","2","333","406","739"
"2019","1","503","715","1218"
"2018","2","382","452","834"
"2018","1","468","536","1004"
"2017","2","401","499","900"
"2017","1","459","520","979"
"2016","2","406","423","829"
"2016","1","417","569","986"
"2015","2","474","539","1013"
"2015","1","395","527","922"
"2014","2","470","470","940"