"Año","Periodo","Agronomía, veterinaria y afines","Bellas artes","Ciencias de la educación","Ciencias de la salud","Ciencias sociales y humanas","Economía, administración, contaduría y afines","Ingeniería, arquitectura, urbanismo y afines","Matemáticas y ciencias naturales","Total"
"2020","2","46","37","0","0","0","42","150","0","275"
"2020","1","47","37","0","0","0","31","145","0","260"
"2019","2","45","38","0","0","0","35","140","0","258"
"2019","1","48","31","0","0","0","25","133","0","237"
"2018","2","63","29","0","0","0","31","149","0","272"
"2018","1","55","29","0","0","0","22","140","0","246"
"2017","2","57","30","0","0","0","30","150","0","267"
"2017","1","43","28","0","0","0","31","141","0","243"
"2016","2","31","29","0","0","0","37","158","0","255"
"2016","1","69","33","0","0","0","38","178","0","318"
"2015","2","32","38","0","0","0","42","169","0","281"
"2015","1","54","37","0","0","0","39","170","0","300"
"2014","2","50","50","0","0","0","40","195","0","335"
"2014","1","10","17","0","0","0","14","94","0","135"
"2013","2","17","31","0","0","0","30","135","0","213"
"2013","1","49","41","0","0","0","53","177","0","320"
"2012","2","56","39","0","0","0","52","186","0","333"
"2012","1","69","35","0","0","0","55","258","0","417"
"2011","2","40","15","0","0","0","29","164","0","248"
"2011","1","49","28","0","0","0","47","222","0","346"
"2010","2","29","29","0","0","0","45","132","0","235"
"2010","1","47","38","0","0","0","36","168","0","289"
"2009","2","46","36","0","0","0","37","158","0","277"
"2009","1","0","0","0","0","0","0","11","0","11"